"File","Path","Size","Modified Time","Access Time","Created Time","MD5","Owner","Group","Mode"
"pre-commit.sample","/home/mint/Apps/nishang/.git/hooks/pre-commit.sample","1642","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","01B1688F97F94776BAAE85D77B06048B","1000","1000","33261"
"commit-msg.sample","/home/mint/Apps/nishang/.git/hooks/commit-msg.sample","896","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","579A3C1E12A1E74A98169175FB913012","1000","1000","33261"
"update.sample","/home/mint/Apps/nishang/.git/hooks/update.sample","3611","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","F51B02427757E79621B5235D7EFDF117","1000","1000","33261"
"pre-rebase.sample","/home/mint/Apps/nishang/.git/hooks/pre-rebase.sample","4898","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","3FF6BA9CF6D8E5332978E057559B5562","1000","1000","33261"
"post-update.sample","/home/mint/Apps/nishang/.git/hooks/post-update.sample","189","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","2B7EA5CEE3C49FF53D41E00785EB974C","1000","1000","33261"
"applypatch-msg.sample","/home/mint/Apps/nishang/.git/hooks/applypatch-msg.sample","452","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","9CC72DC973E24F9623BD3FE708F60EF5","1000","1000","33261"
"pre-applypatch.sample","/home/mint/Apps/nishang/.git/hooks/pre-applypatch.sample","398","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","A4A7E457B55B5AC2877F7973DBBA37E9","1000","1000","33261"
"HEAD","/home/mint/Apps/nishang/.git/logs/HEAD","179","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","F833D7E7B551BEC709BF5EE88FE65706","1000","1000","33188"
"HEAD","/home/mint/Apps/nishang/.git/logs/refs/remotes/origin/HEAD","179","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","F833D7E7B551BEC709BF5EE88FE65706","1000","1000","33188"
"master","/home/mint/Apps/nishang/.git/logs/refs/heads/master","179","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","F833D7E7B551BEC709BF5EE88FE65706","1000","1000","33188"
"pack-6d8528bba0f585163a7c8ff27182050333e1f549.pack","/home/mint/Apps/nishang/.git/objects/pack/pack-6d8528bba0f585163a7c8ff27182050333e1f549.pack","1120025","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","364E67DA985A14F3F80B966F1E1A8DF6","1000","1000","33060"
"pack-6d8528bba0f585163a7c8ff27182050333e1f549.idx","/home/mint/Apps/nishang/.git/objects/pack/pack-6d8528bba0f585163a7c8ff27182050333e1f549.idx","22688","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","2C83874180A7B8F6001F757F4A513643","1000","1000","33060"
"exclude","/home/mint/Apps/nishang/.git/info/exclude","240","Sun Jun 21 21:52:51 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:52:51 2015","036208B4A1AB4A235D75C181E685E5A3","1000","1000","33188"
"HEAD","/home/mint/Apps/nishang/.git/refs/remotes/origin/HEAD","32","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","73A00957034783B7B5C8294C54CD3E12","1000","1000","33188"
"master","/home/mint/Apps/nishang/.git/refs/heads/master","41","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","1E45D563C12BAA84D2EFE14C26DF692A","1000","1000","33188"
"DNS_TXT_Pwnage.ps1","/home/mint/Apps/nishang/Backdoors/DNS_TXT_Pwnage.ps1","18546","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","C62A180D5467DF7019EACF801C61A4F2","1000","1000","33188"
"Add-ScrnSaveBackdoor.ps1","/home/mint/Apps/nishang/Backdoors/Add-ScrnSaveBackdoor.ps1","5078","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","AA71871FD1843C1E146C660B235094F9","1000","1000","33188"
"Invoke-ADSBackdoor.ps1","/home/mint/Apps/nishang/Backdoors/Invoke-ADSBackdoor.ps1","4386","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","CA3D703C3BF0FB54CC512DCFC461B7E9","1000","1000","33188"
"Execute-OnTime.ps1","/home/mint/Apps/nishang/Backdoors/Execute-OnTime.ps1","12728","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","FA0A6520CC82930A05B939CCF251E8E3","1000","1000","33188"
"HTTP-Backdoor.ps1","/home/mint/Apps/nishang/Backdoors/HTTP-Backdoor.ps1","13519","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","20C79B9C372F143FB5C3855B490443C5","1000","1000","33188"
"Gupt-Backdoor.ps1","/home/mint/Apps/nishang/Backdoors/Gupt-Backdoor.ps1","3646","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","8E00A88B4EC8DA21B673F2C29D412BFD","1000","1000","33188"
