"Protocol","Source IP","Source Port","Destination IP","Destination Port"
"TCP","50.62.120.26","80","192.168.203.130","33326"
"TCP","50.62.120.26","80","192.168.203.130","33327"
"TCP","50.62.120.26","80","192.168.203.130","33328"
"TCP","50.62.120.26","80","192.168.203.130","33329"
"TCP","50.62.120.26","80","192.168.203.130","33330"
"TCP","50.62.120.26","80","192.168.203.130","33331"
"TCP","72.21.91.111","80","192.168.203.130","42351"
